"filename", "language", "Markdown", "C++", "CMake", "YAML", "JSON", "Dart", "HTML", "XML", "Kotlin", "Kotlinscript", "Properties", "comment", "blank", "total"
"d:\code\DACN\DACN_Flutter\DACN\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 21
"d:\code\DACN\DACN_Flutter\DACN\windows\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\code\DACN\DACN_Flutter\DACN\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\code\DACN\DACN_Flutter\DACN\windows\runner\CMakeLists.txt", "CMake", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"d:\code\DACN\DACN_Flutter\DACN\windows\runner\flutter_window.cpp", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"d:\code\DACN\DACN_Flutter\DACN\windows\runner\flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\code\DACN\DACN_Flutter\DACN\windows\runner\main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\code\DACN\DACN_Flutter\DACN\windows\runner\resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\code\DACN\DACN_Flutter\DACN\windows\runner\utils.cpp", "C++", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"d:\code\DACN\DACN_Flutter\DACN\windows\runner\utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\code\DACN\DACN_Flutter\DACN\windows\runner\win32_window.cpp", "C++", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"d:\code\DACN\DACN_Flutter\DACN\windows\runner\win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"d:\code\DACN\DACN_Flutter\README.md", "Markdown", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"d:\code\DACN\DACN_Flutter\TODO.md", "Markdown", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"Total", "-", 67, 445, 242, 47, 35, 9461, 19, 74, 3, 75, 9, 658, 1015, 12150
